,directorate,department,expenditure_type,ref_doc_1,vendor_name,expenditure_amount,payment_date,year,month
500,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039816,CEDARS NURSING HOME,2244.13,2014-02-10,2014,February
501,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039817,CEDARS NURSING HOME,2282.1,2014-02-10,2014,February
502,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039818,CEDARS NURSING HOME,2487.77,2014-02-10,2014,February
503,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039819,CEDARS NURSING HOME,2487.77,2014-02-10,2014,February
504,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039820,CEDARS NURSING HOME,2487.77,2014-02-10,2014,February
505,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039821,CEDARS NURSING HOME,2244.13,2014-02-10,2014,February
506,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039822,CEDARS NURSING HOME,2487.77,2014-02-10,2014,February
507,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039823,CEDARS NURSING HOME,3815.19,2014-02-10,2014,February
508,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039824,CEDARS NURSING HOME,2282.1,2014-02-10,2014,February
509,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039825,CEDARS NURSING HOME,2340.04,2014-02-10,2014,February
510,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039744,HARTWIG CARE LIMITED,867.49,2014-02-10,2014,February
511,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039745,HARTWIG CARE LIMITED,471.2,2014-02-10,2014,February
512,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039746,HARTWIG CARE LIMITED,2300.64,2014-02-10,2014,February
513,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039747,HARTWIG CARE LIMITED,983.84,2014-02-10,2014,February
514,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039749,HARTWIG CARE LIMITED,1986.28,2014-02-10,2014,February
515,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039750,HARTWIG CARE LIMITED,682.0,2014-02-10,2014,February
516,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039752,HARTWIG CARE LIMITED,815.18,2014-02-10,2014,February
517,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039754,HARTWIG CARE LIMITED,272.8,2014-02-10,2014,February
518,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039755,HARTWIG CARE LIMITED,357.76,2014-02-10,2014,February
519,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039757,HARTWIG CARE LIMITED,993.6,2014-02-10,2014,February
520,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039759,HARTWIG CARE LIMITED,527.34,2014-02-10,2014,February
521,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039760,HARTWIG CARE LIMITED,357.76,2014-02-10,2014,February
522,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039762,HARTWIG CARE LIMITED,345.36,2014-02-10,2014,February
523,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30034949,HEADWAY EAST LONDON,340.0,2014-02-10,2014,February
524,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30034950,HEADWAY EAST LONDON,340.0,2014-02-10,2014,February
525,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30034951,HEADWAY EAST LONDON,376.08,2014-02-10,2014,February
526,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30034952,HEADWAY EAST LONDON,376.08,2014-02-10,2014,February
527,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30034953,HEADWAY EAST LONDON,376.08,2014-02-10,2014,February
528,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039764,INSIGHT SPECIALIST BEHAVIOURAL,5944.08,2014-02-10,2014,February
529,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039847,LIFESTYLE CARE PLC,2244.13,2014-02-10,2014,February
530,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039848,LIFESTYLE CARE PLC,2244.13,2014-02-10,2014,February
531,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039810,MEERA NURSING HOME LIMITED,2244.13,2014-02-10,2014,February
532,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039846,MEERA NURSING HOME LIMITED,2245.71,2014-02-10,2014,February
533,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039854,MEERA NURSING HOME LIMITED,2244.13,2014-02-10,2014,February
534,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039855,MEERA NURSING HOME LIMITED,2449.76,2014-02-10,2014,February
535,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039858,MEERA NURSING HOME LIMITED,2244.13,2014-02-10,2014,February
536,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039809,NEXT STEP SUPPORT LIMITED,2240.0,2014-02-10,2014,February
537,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039859,NEXT STEP SUPPORT LIMITED,2000.0,2014-02-10,2014,February
538,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039812,PILLARCARE,6328.0,2014-02-10,2014,February
539,Delivery Unit,Adults and Communities,Other Agencies - Third Party Payments,30039736,PROSPECTS STAFF BUREAU LTD,373.75,2014-02-10,2014,February
